2026-03-14 15:56:42,994 WARNING {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 22, 56, 42, 993481, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_up', 'status': {'alive': True, 'latency_ms': 1486, 'last_updated_ms': 1773528997933}, 'severity_level': 'medium', 'device_id': '69a65a1ba9713e22895f8116'}
2026-03-14 15:56:42,994 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 22, 56, 42, 993523, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773528996471}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f8117'}
2026-03-14 15:56:42,994 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 22, 56, 42, 993535, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773528996495}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f8118'}
2026-03-14 15:56:42,995 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 22, 56, 42, 993545, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773528996544}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f8119'}
2026-03-14 15:56:42,995 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 22, 56, 42, 993555, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773528997862}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f811a'}
2026-03-14 15:56:42,995 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 22, 56, 42, 993565, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773528997910}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f811b'}
2026-03-14 15:56:42,996 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 22, 56, 42, 993575, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773528997932}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f811c'}
2026-03-14 15:56:42,996 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 22, 56, 42, 993583, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529002993}, 'severity_level': 'critical', 'device_id': '69a65a2e2b7786f2fc2e37b8'}
2026-03-14 16:01:18,325 DEBUG {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 1, 18, 325526, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_up', 'status': {'alive': True, 'latency_ms': 492, 'last_updated_ms': 1773529273275}, 'severity_level': 'debug', 'device_id': '69a65a1ba9713e22895f8116'}
2026-03-14 16:01:18,326 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 1, 18, 325560, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529272892}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f8117'}
2026-03-14 16:01:18,326 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 1, 18, 325575, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529272995}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f8118'}
2026-03-14 16:01:18,326 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 1, 18, 325586, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529273017}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f8119'}
2026-03-14 16:01:18,326 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 1, 18, 325596, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529273132}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f811a'}
2026-03-14 16:01:18,326 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 1, 18, 325609, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529273213}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f811b'}
2026-03-14 16:01:18,327 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 1, 18, 325619, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529273273}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f811c'}
2026-03-14 16:01:18,327 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 1, 18, 325628, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529278325}, 'severity_level': 'critical', 'device_id': '69a65a2e2b7786f2fc2e37b8'}
2026-03-14 16:01:58,445 DEBUG {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 1, 58, 445234, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_up', 'status': {'alive': True, 'latency_ms': 232, 'last_updated_ms': 1773529313393}, 'severity_level': 'debug', 'device_id': '69a65a1ba9713e22895f8116'}
2026-03-14 16:01:58,445 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 1, 58, 445269, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529313250}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f8117'}
2026-03-14 16:01:58,445 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 1, 58, 445279, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529313270}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f8118'}
2026-03-14 16:01:58,445 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 1, 58, 445288, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529313296}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f8119'}
2026-03-14 16:01:58,446 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 1, 58, 445297, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529313318}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f811a'}
2026-03-14 16:01:58,446 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 1, 58, 445305, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529313342}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f811b'}
2026-03-14 16:01:58,446 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 1, 58, 445312, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529313393}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f811c'}
2026-03-14 16:01:58,446 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 1, 58, 445319, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529318445}, 'severity_level': 'critical', 'device_id': '69a65a2e2b7786f2fc2e37b8'}
2026-03-14 16:06:07,658 DEBUG {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 6, 7, 657806, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_up', 'status': {'alive': True, 'latency_ms': 225, 'last_updated_ms': 1773529562588}, 'severity_level': 'debug', 'device_id': '69a65a1ba9713e22895f8116'}
2026-03-14 16:06:07,658 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 6, 7, 657851, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529562447}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f8117'}
2026-03-14 16:06:07,658 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 6, 7, 657873, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529562499}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f8118'}
2026-03-14 16:06:07,659 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 6, 7, 657889, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529562521}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f8119'}
2026-03-14 16:06:07,659 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 6, 7, 657905, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529562545}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f811a'}
2026-03-14 16:06:07,659 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 6, 7, 657920, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529562570}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f811b'}
